id,name,rarity,cond,kind,value,cost,gold,gv,per,k2,v2,grow,gstep,boom,dadd,side,aim,score,unlock_stat,unlock_v,secs,weight,min_leg,enabled,_tags,_note
r15,교통카드,common,,,,4,,,,,,,,,,,tilt,,,,,,,1,조준,축이 다트마다 기운다. 2026-09-13 기획서가 희귀도 일반 · 가격 4골드로 채워 그대로 내렸다 — 전에는 표가 비어 다른 조준 동전에 맞춘 임시값이었다. id 는 r15 로 둔다: 검증기가 접두사를 안 보고 c 블록에 빈 번호가 없다
u01,사진기,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,무조건,엔진 미지원: 아이템 생성. 이름은 2026-09-13 기획서가 「시잔기」에서 갈았다.
u02,책문관의 바퀴,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,슬롯,엔진 미지원: 동전 파괴 · 판매가 축적
u03,과자집,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,사탕,엔진 미지원: 소수 배수 · 사탕 훅. 이름은 2026-09-13 기획서가 「소갈」에서 갈았다.
u04,의사 콜라,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,상점,엔진 미지원: 판매 훅
u05,π,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,슬롯,엔진 미지원: 재발동
u06,LIVE. DIE. REPEAT.,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,상점,엔진 미지원: 상점 훅. 이름은 2026-09-13 기획서가 「다시! 또 다시!」에서 갈았다.
u07,월 스트리트,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,경제,엔진 미지원: 판매가 성장. 이름은 2026-09-13 기획서가 「장기 투자」에서 갈았다.
u08,난쟁이의 축구공,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,칸;지정,엔진 미지원: 영역 점수를 점수에 더하는 계층이 없다
u31,딱정벌레의 도로,uncommon,sum11,xmult,4,8,,,,,,,,,,,,,,,,,,1,반복,2026-09-13 기획서 s25 「연속으로 맞춘 두 숫자의 합이 11이면 배수 X4」. sum11 조건을 세워 켰다 — 직전 칸은 last_sector 가 이미 들고 있었다
u10,도리안의 초상,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,슬롯,엔진 미지원: 소수 배수 · 동전 파괴. 이름은 2026-09-13 기획서가 「녹슨 동전」에서 갈았다.
u11,BULLET TIME,uncommon,always,chip,100,8,,,,,,,,,-2,,,,,,,,,1,무조건;자원,네 발로 끝내야 한다. 이름은 2026-09-13 기획서가 「액션 배우」에서 갈았다.
u12,대머리,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,순번,엔진 미지원: 첫 두 발을 가르는 조건이 없다
u13,D20,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,무작위,엔진 미지원: 규칙 변경
u14,오크통,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,경제,엔진 미지원: 판매가 성장
u15,도플겡어,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,상점,엔진 미지원: 상점 훅
u16,To The Mars,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,경제,엔진 미지원: 이자 규칙 변경
u17,0+0,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,트랙,엔진 미지원(값 하나): 1/6 트랙 승급. side 에 값을 더하면 켜진다
u18,머니건,uncommon,always,chip,2,8,,,gold,,,,,,,,,,,,,,,1,무조건;경제,모아 둘 이유가 하나 더 는다
u19,데스 이터스,uncommon,always,save,50,8,,,,,,,,,,,,,,,,,,1,무조건;목숨,목표의 절반을 넘겨야 선다
u20,그 탑을 잡아라,uncommon,band,chip,20,8,,,,,,,,,,,,,,,,,,1,링,"트리플과 더블 둘 다. 기획서 P.23 값 점수 +20 으로 되돌렸다 — 2300 과 겹쳐 보인다는 것은 내 판단이었고, 값은 기획서가 쥔다"
u21,스포트라이트,uncommon,bull,mult,8,8,,,,,,,,,,,,,,,,,,1,불,판의 1.18% — 자석 다트와 짝이다
u22,WHITE ALBUM,uncommon,col,,,8,hit,1,,,,,,,,,,,,,0,,,1,색;골드,크림 칸마다 1골드. 이름은 2026-09-13 기획서가 「크림 치즈」에서 갈았다.
u23,심장의 색깔은,uncommon,col,chip,8,8,,,,mult,8,,,,,,,,,,1,,,1,색,먹 칸에 점수와 배수가 같이
u24,비포 선라이즈,uncommon,diff,chip,12,8,,,,,,,,,,,,,,,,,,1,반복,발동률이 가장 넓은 조건 중 하나다. 이름은 2026-09-13 기획서가 「새로운만남」에서 갈았다.
u25,퍼스트블러드,uncommon,first,chip,44,8,,,,,,,,,,,,,,,,,,1,순번,판마다 한 번
u26,SAFETY LAST!,uncommon,last,xmult,3,8,,,,,,,,,,,,,,,,,,1,순번,HOPE 와 같은 조건의 곱셈판. 이름은 2026-09-13 기획서가 「마무리」에서 갈았다.
u27,Mistake,uncommon,missp,xmult,2,8,,,,,,,,,,,,,,,,,,1,빗나감,직전이 빗나갔어야 한다
u28,피보나치,uncommon,sec,mult,8,8,,,,,,,,,,,,,,,1;2;3;5;8;13,,,1,칸;지정,여섯 칸이라 조건이 넓다
u29,프로선수,uncommon,warm,chip,30,8,,,,,,,,,,,,,,,,,,1,링;트리플,트리플을 맞힌 뒤부터 — 더 굿 더 베드 더 트리플과 갈리는 자리다
u30,손목 시계,uncommon,,,,8,,,,,,,,,,,,,,,,,,0,칸;지정,엔진 미지원: 순서 패턴 조건이 없다. 이름은 2026-09-13 기획서가 「시계」에서 갈았다.
r01,태양계,rare,,,,12,,,,,,,,,,,ring,,,,,,,1,조준,반지름과 각도를 나눠 잠근다
r02,수전증,rare,,,,12,,,,,,,,,,,drift,,,,,,,1,조준,겨눌 곳만 정하고 정확히는 못 정한다
r03,더 사일런트,rare,,,,12,,,,,,,,,,,pull,,,,,,,1,조준,손 속도가 곧 벡터다. 기획서의 「배율 증가」는 수치 미정 — TODO
r04,카우보이,rare,,,,12,,,,,,,,,,,cross,,,,,,,1,조준,한 번에 잠근다. 기획서의 「배율 증가」는 수치 미정 — TODO
r05,석양이 진다,rare,,,,12,,,,,,,,,,,kick,,,,,,,1,조준,한 발이 다섯 발이다. 기획서의 「배율 감소」는 수치 미정 — TODO
r06,시아노타입,rare,,,,12,,,,,,,,,,,,,,,,,,0,슬롯,엔진 미지원: 복사
r07,COPPEE,rare,,,,12,,,,,,,,,,,,,,,,,,0,슬롯,엔진 미지원: 복사
r08,그레고르 잠자,rare,,,,12,,,,,,,,,,,,,,,,,,0,슬롯,엔진 미지원: 변신
r09,불사의 토템,rare,always,save,1,12,,,,,,,,,,,,,,,,,,1,무조건;목숨,데스 이터스와 달리 조건이 없다. save 의 값은 「목표의 몇 %」 라 0 을 못 쓴다 — 검증기가 0 이하를 막는다. 1 이 사실상 무조건이다
r10,보팔 소드,rare,,,,12,,,,,,,,,,,,,,,,,,0,불,엔진 미지원: 규칙 변경
r11,자판기,rare,,,,12,,,,,,,,,,,,,,,,,,0,상점,엔진 미지원: 판매 훅
r12,비너스,rare,,,,12,,,,,,,,,,,,,,,,,,0,슬롯,엔진 미지원: 등급을 세는 per 이 없다. 이름은 2026-09-13 기획서가 「조개 껍질」에서 갈았다.
r13,88날어,rare,sec,chip,,12,,,,,,fire,8,,,,,,,,8,,,1,칸;지정;성장,8 을 칠 때마다 쌓인다
r14,빌리의 바지,rare,always,chip,40,12,,,,mult,4,,,,,,,,,,,,,1,무조건,조건 없이 양쪽을 다 준다 — 값이 세다
l02,정조준,legendary,,,,20,,,,,,,,,,,place,,revo_bull_leg,1,,,,1,,"조준을 통째로 지운다 — 누른 자리에 그냥 꽂힌다(place). AIM_MODES 에 있는데 쓰는 동전이 하나도 없던 방식이라 표 한 줄로 선다. 해금은 기획서 s27 의 「[리볼버] 조준 상태에서 모든 다트를 볼스아이에 명중」 그대로다 — revo_bull_leg 가 그 한 판을 잰다. 전에는 bulls(누적 볼스아이) 150 이 임시로 서 있었는데, 오래 하기만 하면 열려서 기획서와 다른 물건이었다. 「모든 다트」는 넘긴 판에만 적는다"
l04,잭과 콩나무,legendary,always,,,20,,,,,,fire,1,,,bigdart,,,best_leg_bare,24,,,,1,무조건;성장,던질 때마다 한 걸음 자라고 자란 만큼 양옆 칸을 같이 먹는다. 관통과 같은 자리를 쓰되 폭이 자란다 — 관통은 배수를 1 로 묶는 대가를 내는데 이쪽은 안 묶는다. 판을 한 바퀴 다 먹지 않게 반 바퀴에서 멈춘다. 해금은 기획서의 「동전을 소지하지 않은채 8라운드 보스판 도달」을 best_leg_bare 24 로 옮긴 것이다
l03,NULL,legendary,always,,,20,,,,,,,,,,boardkill,,,best_gain,100000,,,,1,무조건;목숨,"목표 점수가 HP 가 되고 다트판을 부수면 즉시 완주한다(side boardkill). 해금은 기획서 s27 의 「한번의 투척으로 100,000점 이상 도달」이다 — best_gain 이 **한 발**의 점수라 그 말과 같은 자다. 전에는 best_score(한 판 여섯 발의 합)를 읽어서, 값은 같아도 재는 자리가 달랐다"
l01,데칼코마니,legendary,,,,20,,,,,,,,,,,,bal,,,,,,1,,"발라트로 플라스마 덱 자리. bal 은 _score_combine 에 이미 있었고 저울 다트통이 쥐고 있던 것을 동전으로 내렸다 — 조준 방식과 같은 규약이다(동전이 쥐면 사고 팔고 봉인되는 규칙 아래 놓인다). 이름이 효과를 그대로 말한다: 접어 찍어 좌우가 같아지는 기법이고, 이 동전은 점수와 배수를 같게 만든다. weight 0 이라 테이블에 안 뜬다 — 저울 다트통이 쥐여 주는 길로만 온다"
l05,녹는 시계,legendary,always,,,20,,,,,,,,,,carry,,,clok_out_streak,3,,,,1,자원,2026-09-13 기획서 s27 신설. 판 종료시 남은 다트를 다음 판 dadd 사슬에 얹는다. 해금은 보드 확장 「시계」를 낀 채 연속 보드 아웃 3회 — 보드 확장이 한 장만 들어가게 되면서 「장착」 판정이 mods_own 한 줄이 됐다
